1	0.83	-112.28837	-112.52057	-112.53124
2	0.84	-112.33083	-112.56469	-112.57517
3	0.85	-112.37019	-112.60571	-112.61597
4	0.86	-112.40663	-112.6438	-112.65385
5	0.87	-112.44032	-112.67915	-112.68897
6	0.88	-112.47143	-112.71192	-112.72149
7	0.89	-112.50012	-112.74226	-112.75157
8	0.9	-112.52652	-112.77031	-112.77936
9	0.91	-112.55077	-112.79622	-112.80499
10	0.92	-112.57301	-112.82012	-112.82858
11	0.93	-112.59334	-112.84211	-112.85027
12	0.94	-112.6119	-112.86233	-112.87016
13	0.95	-112.62878	-112.88087	-112.88836
14	0.96	-112.64408	-112.89784	-112.90497
15	0.97	-112.6579	-112.91334	-112.92009
16	0.98	-112.67033	-112.92744	-112.9338
17	0.99	-112.68145	-112.94025	-112.9462
18	1	-112.69135	-112.95183	-112.95735
19	1.01	-112.7001	-112.96226	-112.96734
20	1.02	-112.70776	-112.97162	-112.97624
21	1.03	-112.71441	-112.97997	-112.98411
22	1.04	-112.7201	-112.98738	-112.99101
23	1.05	-112.7249	-112.9939	-112.99701
24	1.06	-112.72887	-112.99959	-113.00216
25	1.07	-112.73204	-113.0045	-113.00651
26	1.08	-112.73448	-113.00868	-113.01011
27	1.09	-112.73623	-113.01219	-113.01301
28	1.1	-112.73734	-113.01505	-113.01524
29	1.11	-112.73784	-113.01732	-113.01686
30	1.12	-112.73777	-113.01904	-113.0179
31	1.13	-112.73718	-113.02024	-113.0184
32	1.14	-112.73609	-113.02095	-113.01839
33	1.15	-112.73454	-113.02121	-113.01791
34	1.16	-112.73256	-113.02106	-113.01697
35	1.17	-112.73018	-113.02051	-113.01563
36	1.18	-112.72742	-113.0196	-113.01389
37	1.19	-112.72432	-113.01835	-113.01179
38	1.2	-112.7209	-113.01679	-113.00935
39	1.21	-112.71717	-113.01494	-113.00659
40	1.22	-112.71317	-113.01282	-113.00354
41	1.23	-112.70891	-113.01046	-113.00021
42	1.24	-112.70441	-113.00786	-112.99662
43	1.25	-112.69969	-113.00506	-112.99279
44	1.26	-112.69477	-113.00206	-112.98874
45	1.27	-112.68966	-112.99888	-112.98449
46	1.28	-112.68439	-112.99554	-112.98004
47	1.29	-112.67895	-112.99205	-112.97541
48	1.3	-112.67338	-112.98843	-112.97061
49	1.31	-112.66767	-112.98467	-112.96567
50	1.32	-112.66185	-112.98081	-112.96058
51	1.33	-112.65593	-112.97684	-112.95535
52	1.34	-112.6499	-112.97278	-112.95001
53	1.35	-112.6438	-112.96863	-112.94456
54	1.36	-112.63762	-112.96441	-112.939
55	1.37	-112.63137	-112.96011	-112.93335
56	1.38	-112.62507	-112.95576	-112.92761
57	1.39	-112.61872	-112.95134	-112.9218
58	1.4	-112.61233	-112.94688	-112.91591
59	1.41	-112.6059	-112.94237	-112.90996
60	1.42	-112.59945	-112.93781	-112.90395
61	1.43	-112.59298	-112.93322	-112.89788
